summary/average_tokens_per_second,performance/tokens_per_second,summary/final_eval_perplexity,model/total_parameters,timestamp,train/perplexity,step,summary/total_iterations,timing/eval_total_seconds,learning_rate/group_0,model/trainable_parameters,system/elapsed_time_hours,train/running_loss,training/progress,performance/iterations_per_second,train/grad_clip_ratio,timing/total_ms,summary/total_training_time_hours,eval/num_batches,eval/perplexity,training/iteration,summary/final_train_loss,train/grad_norm_before_clip,timing/optimizer_ms,train/loss,train/grad_norm_after_clip,train/learning_rate,summary/final_eval_loss,timing/forward_ms,eval/loss,timing/backward_ms
,,,22696448,1756179661.313015,,0,,,,22696448,,,,,,,,,,,,,,,,,,,,
,,,,1756179662.3244429,,0,,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,1756179670.293559,10786.563504023305,0,,,,,,,,,0.11139638906894314,4323.009967803955,,,,,,8.976950099212935,799.929141998291,9.286056518554688,0.9999998270183759,,,432.50298500061035,,3090.5778408050537
,513.8373499190207,,,1756179670.2958322,,0,,,,,,9.286056518554688,0.0,0.1254485717575734,,,,,,0,,,,,,0.0,,,,
,,,,1756179670.296303,,0,,,,,0.002879268659485711,,,,,,,,,,,,,,,,,,,
,,,,1756179760.860684,,50,,,0.00015,,,,,,,,,,,,,,,,,,,,,
,,,,1756179762.697105,40.74445417176009,50,,,,,,,,,0.2727172622710055,375.4560947418213,,,,,,3.6667996762337807,64.4690990447998,3.707319736480713,0.9999995717258586,,,47.946929931640625,,263.04006576538086
,2229.1910224941103,,,1756179762.698116,,50,,,,,,6.181592567294252,0.025,0.5442360894761011,,,,,,50,,,,,,0.00015,,,,
,,,,1756179762.698227,,50,,,,,0.02854646967517005,,,,,,,,,,,,,,,,,,,
,,,,1756179875.524838,,100,,,0.0003,,,,,,,,,,,,,,,,,,,,,
,,,,1756179877.714466,7.280530591357517,100,,,,,,,,,0.9999999830401841,703.9148807525635,,,,,,0.5896290340832238,323.66371154785156,1.985203742980957,0.5896290340832238,,,82.98206329345703,,297.2691059112549
